Brand,Model,Also Known As,Device Type,URL,Scraped At,Announced,Release Year,Status,Length mm,Width mm,Height mm,Weight g,Display Size inches,Resolution Width px,Resolution Height px,PPI,Storage Options,RAM Options,Main Camera MP,Selfie Camera MP,Battery mAh,SAR US Head W/kg,SAR US Body W/kg,SAR EU Head W/kg,SAR EU Body W/kg,Price USD,Price EUR,Price GBP,Price INR,Price Raw,Battery_Charging,Battery_Stand-by,Battery_Talk time,Battery_Type,Body,Body_Dimensions,Body_SIM,Body_Weight,Camera,Comms_Bluetooth,Comms_NFC,Comms_Positioning,Comms_Radio,Comms_USB,Comms_WLAN,Display,Display_Protection,Display_Resolution,Display_Size,Display_Type,EU LABEL_Battery,EU LABEL_Energy,EU LABEL_Free fall,EU LABEL_Repairability,Features,Features_Alarm,Features_Browser,Features_Clock,Features_Games,Features_Java,Features_Languages,Features_Messaging,Features_Sensors,Launch_Announced,Launch_Status,Main Camera_Dual,Main Camera_Features,Main Camera_Single,Main Camera_Triple,Main Camera_Video,Memory,Memory_Call records,Memory_Card slot,Memory_Internal,Memory_Phonebook,Misc_Colors,Misc_Models,Misc_Price,Misc_SAR,Misc_SAR EU,Network,Network_2,Network_2G bands,Network_3G bands,Network_4G bands,Network_5G bands,Network_EDGE,Network_GPRS,Network_Speed,Network_Technology,Our Tests_Loudspeaker,Platform_CPU,Platform_Chipset,Platform_GPU,Platform_OS,Selfie camera,Selfie camera_Single,Selfie camera_Video,Sound_3.5mm jack,Sound_Alert types,Sound_Loudspeaker
Sonim,Sonim XP Pro E,,Phone,https://www.gsmarena.com/sonim_xp_pro_e_5g-14273.php,2026-06-03 05:17 UTC,"2025, July 09",2025,"Available. Released 2025, October",171.5,80,11.5,267,6.58,1080,2408,401,256GB,8GB,50,16,5000,,,,,,,,,About 670 EUR,Wireless charging,,,5000 mAh,IP68/IP69K dust tight and water resistant (high pressure water jets; immersible up to 2m for 60 min) MIL-STD-810H compliant Drop resistant up to 2m,171.5 x 80 x 11.5 mm (6.75 x 3.15 x 0.45 in),Nano-SIM,267 g (9.42 oz),,"5.3, A2DP, LE",Yes,"GPS (L1+L5), GALILEO",Unspecified,"USB Type-C, magnetic connector pins","Wi-Fi 802.11 a/b/g/n/ac/6, tri-band",,"Corning Gorilla Glass Victus 2, Mohs level 5","1080 x 2408 pixels, 20:9 ratio (~401 ppi density)","6.58 inches, 104.3 cm 2 (~76.0% screen-to-body ratio)","IPS LCD, 90Hz","41:21h endurance, 1000 cycles",Class C,Class A (300 falls),Class C,Google AER Certified,,,,,,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer","2025, July 09","Available. Released 2025, October","50 MP, (wide), PDAF 13 MP, (ultrawide)",LED flash,,,"4K@30fps, 1080p@30fps",,,microSDXC (dedicated slot),256GB 8GB RAM,,Black,X802,About 670 EUR,,,,,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 18, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 42, 43, 46, 48, 66, 68, 71","1, 2, 3, 5, 7, 14, 20, 25, 26, 28, 30, 38, 40, 41, 48, 66, 70, 71, 77, 78 SA/NSA/Sub6/mmWave",,,"HSPA, LTE, 5G",GSM / HSPA / LTE / 5G,,Octa-core (1x2.63 GHz Cortex-A715 & 3x2.4 GHz Cortex-A715 & 4x1.8 GHz Cortex-A510),Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),Adreno 720,"Android 14, up to 2 major Android upgrades",,"16 MP, (wide)",1080p@30fps,No,,"Yes, with stereo speakers (100dB+)"
Sonim,Sonim XP Pro Thermal,,Phone,https://www.gsmarena.com/sonim_xp_pro_thermal_5g-14272.php,2026-06-03 05:17 UTC,"2025, February 27",2025,"Available. Released 2025, July 24",171.5,80,11.5,267,6.58,1080,2408,401,256GB,8GB,50,16,5000,,,,,,,,,About 770 EUR,Wireless charging,,,5000 mAh,IP68/IP69K dust tight and water resistant (high pressure water jets; immersible up to 2m for 60 min) MIL-STD-810H compliant Drop resistant up to 2m,171.5 x 80 x 11.5 mm (6.75 x 3.15 x 0.45 in),Nano-SIM,267 g (9.42 oz),,"5.3, A2DP, LE",Yes,"GPS (L1+L5), GALILEO",Unspecified,"USB Type-C, magnetic connector pins","Wi-Fi 802.11 a/b/g/n/ac/6, tri-band",,"Corning Gorilla Glass Victus 2, Mohs level 5","1080 x 2408 pixels, 20:9 ratio (~401 ppi density)","6.58 inches, 104.3 cm 2 (~76.0% screen-to-body ratio)","IPS LCD, 90Hz","41:21h endurance, 1000 cycles",Class C,Class A (300 falls),Class C,Google AER Certified,,,,,,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer","2025, February 27","Available. Released 2025, July 24","50 MP, (wide), PDAF FLIR thermal camera (Lepton 3.5 module)",LED flash,,,"4K@30fps, 1080p@30fps",,,microSDXC (dedicated slot),256GB 8GB RAM,,Black,X802,About 770 EUR,,,,,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 18, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 42, 43, 46, 48, 66, 68, 71","1, 2, 3, 5, 7, 14, 20, 25, 26, 28, 30, 38, 40, 41, 48, 66, 70, 71, 77, 78 SA/NSA/Sub6/mmWave",,,"HSPA, LTE, 5G",GSM / HSPA / LTE / 5G,,Octa-core (1x2.63 GHz Cortex-A715 & 3x2.4 GHz Cortex-A715 & 4x1.8 GHz Cortex-A510),Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),Adreno 720,"Android 14, up to 2 major Android upgrades",,"16 MP, (wide)",1080p@30fps,No,,"Yes, with stereo speakers (100dB+)"
Sonim,Sonim XP400,,Phone,https://www.gsmarena.com/sonim_xp400-13650.php,2026-06-03 05:17 UTC,"2025, January 22",2025,"Available. Released 2025, January 22",170,78,10.2,230,6.5,720,1612,272,128GB,6GB,50,8,5000,,,,,,,,,About 250 EUR,,,,5000 mAh,IP68/IP69K dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min) MIL-STD-810H compliant,170 x 78 x 10.2 mm (6.69 x 3.07 x 0.40 in),Nano-SIM + Nano-SIM,230 g (8.11 oz),,"5.1, A2DP, LE",Yes,"GPS (L1+L5), GALILEO, GLONASS",FM radio,USB Type-C 3.1,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,Corning Gorilla Glass Victus 2,"720 x 1612 pixels, 20:9 ratio (~272 ppi density)","6.5 inches, 101.5 cm 2 (~76.5% screen-to-body ratio)",IPS LCD,,,,,,,,,,,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer","2025, January 22","Available. Released 2025, January 22","50 MP, (wide), PDAF 5 MP, (ultrawide)",LED flash,,,1080p@30fps,,,microSDXC (uses shared SIM slot),128GB 6GB RAM,,Black,,About 250 EUR,,,,,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 3, 5, 7, 8, 20, 26, 28, 32, 38, 40, 41, 42, 68, 71","1, 3, 5, 7, 8, 20, 26, 28, 38, 40, 41, 71, 75, 77, 78 SA/NSA",,,"HSPA, LTE, 5G",GSM / HSPA / LTE / 5G,,Octa-core (2x2.2 GHz Cortex-A78 & 6x1.95 GHz Cortex-A55),Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm),Adreno 613,"Android 14, up to 2 major Android upgrades",,"8 MP, (wide)",1080p@30fps,No,,"Yes, with stereo speakers"
Sonim,Sonim XP Pro,,Phone,https://www.gsmarena.com/sonim_xp_pro-13651.php,2026-06-03 05:17 UTC,"2024, November 21",2024,"Available. Released 2024, November 21",171,80,12,277,6.58,1080,2408,401,256GB,8GB,50,16,5000,,,,,,,,,About 530 EUR,Wireless charging,,,5000 mAh,IP68/IP69K dust tight and water resistant (high pressure water jets; immersible up to 2m for 60 min) MIL-STD-810H compliant Drop resistant up to 2m,171 x 80 x 12 mm (6.73 x 3.15 x 0.47 in),Nano-SIM + eSIM,277 g (9.77 oz),,"5.3, A2DP, LE",Yes,"GPS (L1+L5), GALILEO",Unspecified,"USB Type-C, magnetic connector pins","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",,Corning Gorilla Glass Victus 2,"1080 x 2408 pixels, 20:9 ratio (~401 ppi density)","6.58 inches, 104.3 cm 2 (~76.2% screen-to-body ratio)","IPS LCD, 90Hz",,,,,,,,,,,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer","2024, November 21","Available. Released 2024, November 21",,LED flash,,"50 MP, (wide), PDAF 13 MP, (ultrawide) 2 MP (macro)","4K@30fps, 1080p@30fps",,,microSDXC (dedicated slot),256GB 8GB RAM,,Black,,About 530 EUR,,,,,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 18, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 42, 43, 46, 48, 66, 71","1, 2, 3, 5, 7, 14, 20, 25, 26, 28, 30, 38, 40, 41, 48, 66, 70, 71, 77, 78, 257, 260, 261 SA/NSA/Sub6/mmWave",,,"HSPA, LTE, 5G",GSM / HSPA / LTE / 5G,,Octa-core (1x2.63 GHz Cortex-A715 & 3x2.4 GHz Cortex-A715 & 4x1.8 GHz Cortex-A510),Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),Adreno 720,"Android 14, up to 2 major Android upgrades",,"16 MP, (wide)",1080p@30fps,No,,"Yes, with stereo speakers (100dB+)"
Sonim,Sonim XP10,,Phone,https://www.gsmarena.com/sonim_xp10-13673.php,2026-06-03 05:17 UTC,"2022, December 02",2023,"Available. Released 2023, Q1",161,77.5,16.4,320,5.5,1080,2160,439,128GB,6GB,50,8,5000,,,,,,,,,About 500 EUR,Wireless charging,,,"Li-Ion 5000 mAh, removable",IP68/IP69K dust tight and water resistant (high pressure water jets; immersible up to 2m for 60 min) MIL-STD-810H compliant Drop resistant up to 2m,161 x 77.5 x 16.4 mm (6.34 x 3.05 x 0.65 in),Nano-SIM + Nano-SIM,320 g (11.29 oz),,"5.1, A2DP, LE, aptX",Yes,"GPS (L1+L5), GALILEO, GLONASS, BDS",Unspecified,"USB Type-C, magnetic connector pins","Wi-Fi 802.11 a/b/g/n/ac/mc, dual-band",,Corning Gorilla Glass Victus,"1080 x 2160 pixels, 18:9 ratio (~439 ppi density)","5.5 inches, 78.1 cm 2 (~62.6% screen-to-body ratio)",IPS LCD,,,,,,,,,,,,,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer","2022, December 02","Available. Released 2023, Q1","50 MP, (wide), PDAF 8 MP, (ultrawide)",LED flash,,,1080p@30fps,UFS,,microSDXC,128GB 6GB RAM,,Black,,About 500 EUR,,,,,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 20, 25, 26, 29, 30, 38, 39, 40, 41, 42, 43, 46, 48, 66, 71","2, 5, 14, 25, 30, 41, 48, 66, 71, 77, 78 SA/NSA/Sub6",,,"HSPA, LTE, 5G",GSM / HSPA / LTE / 5G,,Octa-core (2x2.2 GHz Cortex-A76 & 6x1.9 GHz Cortex-A55),Qualcomm SM4350 Snapdragon 480 5G (8 nm),Adreno 619,"Android 12, upgradable to Android 13, up to 2 major Android upgrades",,"8 MP, (wide)",1080p@30fps,No,,"Yes, with stereo speakers (100dB+)"
Sonim,Sonim XP100,,Phone,https://www.gsmarena.com/sonim_xp100-13652.php,2026-06-03 05:17 UTC,"2024, October 24",2024,"Available. Released 2024, October 24",145,62,16.2,165,2.4,240,320,167,128MB,64MB,2,,1800,,,,,,,,,,,,,"Li-Ion 1800 mAh, removable",IP68/IP69K dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min) MIL-STD-810H compliant LED flashlight,145 x 62 x 16.2 mm (5.71 x 2.44 x 0.64 in),Nano-SIM + Nano-SIM,165 g (5.82 oz),,"5.0, A2DP, LE",No,No,FM radio,USB Type-C 2.0,No,,Corning Gorilla Glass,"240 x 320 pixels, 4:3 ratio (~167 ppi density)","2.4 inches, 17.8 cm 2 (~19.8% screen-to-body ratio)",TFT LCD,,,,,,,,,Downloadable,No,,"SMS(threaded view), MMS, Email, Push Email, IM",No,"2024, October 24","Available. Released 2024, October 24",,,2 MP,,Yes,,Yes,microSDXC,128MB 64MB RAM,Yes,Black,,,,,,,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 8, 20, 28, 38, 40, 41",,,,"HSPA, LTE",GSM / HSPA / LTE,,1.0 GHz,Unisoc T127,,,,,,Yes,,Yes
Sonim,Sonim XP5plus,,Phone,https://www.gsmarena.com/sonim_xp5plus-11710.php,2026-06-03 05:17 UTC,"2022, July 15",2022,"Available. Released 2022, July 15",148.7,65.9,21,275,2.8,240,320,143,16GB,2GB,8,,3500,,,,,,,,,About 300 EUR,,,,"Li-Ion 3500 mAh, removable",IP68 dust tight and water resistant (immersible up to 1.5m for 30 min) IPX9K water ingress protection MIL-STD-810H,148.7 x 65.9 x 21 mm (5.85 x 2.59 x 0.83 in),Nano-SIM + Nano-SIM,275 g (9.70 oz),,"5.0, A2DP, LE",No,"GPS, GLONASS, GALILEO, BDS",FM radio,USB Type-C,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,Corning Gorilla Glass 3,"240 x 320 pixels, 4:3 ratio (~143 ppi density)","2.8 inches, 24.3 cm 2 (~24.8% screen-to-body ratio)",TFT LCD,,,,,Top-mount PTT control knobs (optional),,,,,,,,"Accelerometer, barometer","2022, July 15","Available. Released 2022, July 15",,LED flash,8 MP,,1080p@30fps,,,microSDXC,16GB 2GB RAM,,Black,,About 300 EUR,,,,,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 25, 26, 29, 30, 39, 40, 41, 66, 71",,,,"HSPA, LTE",GSM / HSPA / LTE,,Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Qualcomm SM6115 Snapdragon 662 (11 nm),Adreno 610,Sonim OS (based on AOSP Android 11),,,,No,,"Yes, with dual speakers"
Sonim,Sonim XP3plus,,Phone,https://www.gsmarena.com/sonim_xp3plus-11707.php,2026-06-03 05:17 UTC,"2021, September",2021,"Available. Released 2021, September",116,60,28,220,2.8,240,320,143,16GB,2GB,8,,2300,,,,,,,,,About 240 EUR,,,,"Li-Ion 2300 mAh, removable",IP68 dust tight and water resistant (immersible up to 1.5m for 30 min) MIL-STD-810H,116 x 60 x 28 mm (4.57 x 2.36 x 1.10 in),Nano-SIM,220 g (7.76 oz),,"5.0, A2DP, LE",No,"GPS, GLONASS, GALILEO",FM Radio,USB Type-C,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","Cover display: IPS LCD, 1.3 inches, 240 x 240 pixels",,"240 x 320 pixels, 4:3 ratio (~143 ppi density)","2.8 inches, 24.3 cm 2 (~34.9% screen-to-body ratio)",TFT LCD,,,,,,,,,,,,,"Accelerometer, barometer","2021, September","Available. Released 2021, September",,LED flash,8 MP,,,,,microSDXC (dedicated slot),16GB 2GB RAM,,Black,,About 240 EUR,,,,,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 12, 13, 14, 25, 26, 30, 39, 40, 41, 66, 71",,,,"HSPA, LTE",GSM / HSPA / LTE,,Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Qualcomm SM6115 Snapdragon 662 (11 nm),Adreno 610,Sonim OS (based on AOSP Android 11),,,,Yes,,Yes
Sonim,Sonim XP3,,Phone,https://www.gsmarena.com/sonim_xp3-11708.php,2026-06-03 05:17 UTC,"2019, March. Released 2019, March",2019,Discontinued,112,58,27,195,2.6,240,320,154,8GB,1GB,5,,1500,,,,,,,,,About 190 EUR,,,,"Li-Ion 1500 mAh, removable",IP68 dust tight and water resistant (immersible up to 1.5m for 30 min) MIL-STD-810G,112 x 58 x 27 mm (4.41 x 2.28 x 1.06 in),Nano-SIM,195 g (6.88 oz),,"4.2, A2DP, LE",No,"GPS, GLONASS, GALILEO",FM Radio,USB Type-C,"Wi-Fi 802.11 a/b/g/n/r, dual-band","Cover display: TN LCD, 1.08 inches, 96 x 96 pixels",,"240 x 320 pixels, 4:3 ratio (~154 ppi density)","2.6 inches, 20.9 cm 2 (~32.2% screen-to-body ratio)",TFT LCD,,,,,,,,,,,,,Barometer,"2019, March. Released 2019, March",Discontinued,,LED flash,5 MP,,,,,microSDXC (dedicated slot),8GB 1GB RAM,,Black,,About 190 EUR,,,CDMA 800 / 1900,CDMA2000 1xEV-DO,GSM 850 / 900 / 1800 / 1900,HSDPA 800 / 850 / 900 / 1700(AWS) / 2100,"1, 2, 3, 4, 5, 8, 12, 13, 14, 25, 26, 38, 41, 66",,,,"HSPA, LTE",GSM / CDMA / HSPA / EVDO / LTE,,Quad-core 1.1 GHz Cortex-A7,Qualcomm MSM8909 Snapdragon 210 (28 nm),Adreno 304,Sonim OS (based on AOSP Android 8.1),,,,Yes,,Yes
Sonim,Sonim XP5s,,Phone,https://www.gsmarena.com/sonim_xp5s-11709.php,2026-06-03 05:17 UTC,"2018, December 21. Released 2018, December 21",2018,Discontinued,141,64,23,260,2.64,320,432,204,16GB,2GB,5,,3180,,,,,,,,,About 340 EUR,,,,"Li-Ion 3180 mAh, removable",IP68 dust tight and water resistant (immersible up to 1.5m for 30 min) MIL-STD-810G,141 x 64 x 23 mm (5.55 x 2.52 x 0.91 in),Nano-SIM + Nano-SIM,260 g (9.17 oz),,"4.2, A2DP, EDR, LE",No,"GPS, GLONASS",FM radio,USB Type-C,"Wi-Fi 802.11 a/b/g/n/ac/e/k/r/h, dual-band",,Corning Gorilla Glass 1,"320 x 432 pixels, 4:3 ratio (~204 ppi density)","2.64 inches, 21.5 cm 2 (~23.8% screen-to-body ratio)",TFT LCD,,,,,,,,,,,,,"Accelerometer, barometer","2018, December 21. Released 2018, December 21",Discontinued,,LED flash,5 MP,,720p@30fps,,,microSDXC,16GB 2GB RAM,,Black,XP5800,About 340 EUR,,,CDMA 800 / 1900,CDMA2000 1xEV-DO,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 25, 26, 28, 30, 38, 41, 66",,,,"HSPA, LTE",GSM / CDMA / HSPA / EVDO / LTE,,Quad-core 1.4 GHz Cortex-A53,Qualcomm MSM8920 Snapdragon 427 (28 nm),Adreno 308,Sonim OS (based on AOSP Android 8.1),,,,No,,Yes
Sonim,XP8,,Phone,https://www.gsmarena.com/sonim_xp8-9147.php,2026-06-03 05:17 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
